name: Alamofire, nameSpecified: Alamofire, owner: Alamofire, version: 5.9.1, source: https://github.com/Alamofire/Alamofire

name: combine-schedulers, nameSpecified: combine-schedulers, owner: pointfreeco, version: 1.0.0, source: https://github.com/pointfreeco/combine-schedulers

name: FlowStacks, nameSpecified: FlowStacks, owner: johnpatrickmorgan, version: 0.4.1, source: https://github.com/johnpatrickmorgan/FlowStacks

name: Get, nameSpecified: Get, owner: kean, version: 2.2.0, source: https://github.com/kean/Get

name: kakao-ios-sdk, nameSpecified: KakaoOpenSDK, owner: kakao, version: 2.22.2, source: https://github.com/kakao/kakao-ios-sdk

name: lottie-ios, nameSpecified: Lottie, owner: airbnb, version: 4.4.3, source: https://github.com/airbnb/lottie-ios

name: MultipartFormDataKit, nameSpecified: MultipartFormDataKit, owner: Kuniwak, version: 1.0.1, source: https://github.com/Kuniwak/MultipartFormDataKit

name: Nuke, nameSpecified: Nuke, owner: kean, version: 12.7.0, source: https://github.com/kean/Nuke

name: swift-case-paths, nameSpecified: swift-case-paths, owner: pointfreeco, version: 1.3.3, source: https://github.com/pointfreeco/swift-case-paths

name: swift-clocks, nameSpecified: swift-clocks, owner: pointfreeco, version: 1.0.2, source: https://github.com/pointfreeco/swift-clocks

name: swift-collections, nameSpecified: swift-collections, owner: apple, version: 1.1.0, source: https://github.com/apple/swift-collections

name: swift-composable-architecture, nameSpecified: swift-composable-architecture, owner: pointfreeco, version: 1.8.0, source: https://github.com/pointfreeco/swift-composable-architecture

name: swift-concurrency-extras, nameSpecified: swift-concurrency-extras, owner: pointfreeco, version: 1.1.0, source: https://github.com/pointfreeco/swift-concurrency-extras

name: swift-custom-dump, nameSpecified: swift-custom-dump, owner: pointfreeco, version: 1.3.0, source: https://github.com/pointfreeco/swift-custom-dump

name: swift-dependencies, nameSpecified: swift-dependencies, owner: pointfreeco, version: 1.3.0, source: https://github.com/pointfreeco/swift-dependencies

name: swift-identified-collections, nameSpecified: swift-identified-collections, owner: pointfreeco, version: 1.0.2, source: https://github.com/pointfreeco/swift-identified-collections

name: swift-perception, nameSpecified: swift-perception, owner: pointfreeco, version: 1.1.7, source: https://github.com/pointfreeco/swift-perception

name: swift-syntax, nameSpecified: swift-syntax, owner: apple, version: 509.1.1, source: https://github.com/apple/swift-syntax

name: swiftui-navigation, nameSpecified: swiftui-navigation, owner: pointfreeco, version: 1.3.0, source: https://github.com/pointfreeco/swiftui-navigation

name: TCACoordinators, nameSpecified: TCACoordinators, owner: johnpatrickmorgan, version: 0.10.0, source: https://github.com/johnpatrickmorgan/TCACoordinators

name: xctest-dynamic-overlay, nameSpecified: xctest-dynamic-overlay, owner: pointfreeco, version: 1.1.2, source: https://github.com/pointfreeco/xctest-dynamic-overlay

add-version-numbers: true

LicensePlist Version: 3.24.9
